epoch,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,val_loss,val_r2
0,9,,,,,0.0327112041413784,-24.367475509643555
0,9,0.03683067113161087,,-0.03206168860197067,,,
1,19,,,,,0.005268858280032873,-2.5604846477508545
1,19,0.004332192242145538,,0.8702460527420044,,,
2,29,,,,,0.001454444951377809,0.6065689921379089
2,29,0.002583116991445422,,0.9254978895187378,,,
3,39,,,,,0.002486637094989419,-0.08836274594068527
3,39,0.0015270616859197617,,0.9544769525527954,,,
4,49,,0.0016946016112342477,,0.9549468159675598,,
4,49,,,,,0.0036122510209679604,-1.365953803062439
4,49,0.0011004034895449877,,0.9688194990158081,,,
5,59,,,,,0.0013282306026667356,0.39118748903274536
5,59,0.0012681239750236273,,0.9630231857299805,,,
6,69,,,,,0.0009297143551521003,0.6499204039573669
6,69,0.0009089343366213143,,0.9740968942642212,,,
7,79,,,,,0.0009981512557715178,0.5408958792686462
7,79,0.0010701350402086973,,0.9686792492866516,,,
8,89,,,,,0.0013747226912528276,0.13724137842655182
8,89,0.0013429009122774005,,0.9612120389938354,,,
9,99,,0.0017010122537612915,,0.9461460709571838,,
9,99,,,,,0.004708206281065941,-2.671804904937744
9,99,0.001028193160891533,,0.9692718386650085,,,
10,109,,,,,0.01084490492939949,-6.875695705413818
10,109,0.0025201167445629835,,0.9260950088500977,,,
11,119,,,,,0.0012497780844569206,0.17034117877483368
11,119,0.0017894130432978272,,0.9474319219589233,,,
12,129,,,,,0.001517365570180118,0.03275369480252266
12,129,0.0009848577901721,,0.9716342687606812,,,
13,139,,,,,0.0009533994598314166,0.695250391960144
13,139,0.001570298569276929,,0.9542590379714966,,,
14,149,,0.004846459720283747,,0.848832368850708,,
14,149,,,,,0.0006707581924274564,0.777376651763916
14,149,0.0014931450132280588,,0.954616367816925,,,
